交易序號,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
1,開倉,-1.0,16545.7,-0.18131599146606064,16545.7,-0.18131599146606064,,,,
2,平倉,,,,,,17372.985,-0.18131599146606064,-149.99999999999994,0.0
3,開倉,1.0,17378.7560072,0.1700351854169393,17378.7560072,0.1700351854169393,,,,
4,平倉,,,,,,19116.631607920004,0.1700351854169393,295.5000000000004,0.0
5,開倉,1.0,19118.85186145,0.15919627507219805,19118.85186145,0.15919627507219805,,,,
6,平倉,,,,,,21030.737047595,0.15919627507219805,304.36500000000035,0.0
7,開倉,1.0,21118.56647879,0.14844565814391486,21118.56647879,0.14844565814391486,,,,
8,平倉,,,,,,23230.423126669,0.14844565814391486,313.4959500000003,0.0
9,開倉,1.0,23249.68837049,0.13888393829391993,23249.68837049,0.13888393829391993,,,,
10,平倉,,,,,,22087.203951965497,0.13888393829391993,-161.4504142500003,0.0
11,開倉,-1.0,21994.54536816,-0.14460736093819418,21994.54536816,-0.14460736093819418,,,,
12,平倉,,,,,,23094.272636568003,-0.14460736093819418,-159.02865803625025,0.0
13,開倉,1.0,23161.85511652,0.13525965634245052,23161.85511652,0.13525965634245052,,,,
14,平倉,,,,,,22003.762360694,0.13525965634245052,-156.64322816570635,0.0
15,開倉,-1.0,21967.46600391,-0.14047462708330388,21967.46600391,-0.14047462708330388,,,,
16,平倉,,,,,,19770.719403519,-0.14047462708330388,308.58715948644146,0.0
17,開倉,-1.0,19677.7578971,-0.16152489319826258,19677.7578971,-0.16152489319826258,,,,
18,平倉,,,,,,20661.645791955,-0.16152489319826258,-158.92238713551743,0.0
19,開倉,1.0,20740.18075478,0.15095196438189862,20740.18075478,0.15095196438189862,,,,
20,平倉,,,,,,22814.198830258003,0.15095196438189862,313.07710265696915,0.0
21,開倉,1.0,22902.4297236,0.14080139951456191,22902.4297236,0.14080139951456191,,,,
22,平倉,,,,,,25192.672695960002,0.14080139951456191,322.4694157366786,0.0
23,開倉,1.0,25450.78184368,0.13050424157843982,25450.78184368,0.13050424157843982,,,,
24,平倉,,,,,,24178.242751496,0.13050424157843982,-166.07174910438934,0.0
25,開倉,-1.0,23979.48466452,-0.1364338518165547,23979.48466452,-0.1364338518165547,,,,
26,平倉,,,,,,25178.458897746,-0.1364338518165547,-163.5806728678233,0.0
27,開倉,1.0,25361.2,0.12706572463038504,25361.2,0.12706572463038504,,,,
28,平倉,,,,,,27897.320000000003,0.12706572463038504,322.25392554961246,0.0
29,開倉,1.0,27930.99313155,0.11883628403501773,27930.99313155,0.11883628403501773,,,,
30,平倉,,,,,,30724.092444705002,0.11883628403501773,331.9215433161008,0.0
31,開倉,1.0,30764.97931462,0.11112609116987676,30764.97931462,0.11112609116987676,,,,
32,平倉,,,,,,29226.730348889,0.11112609116987676,-170.9395948077917,0.0
33,開倉,-1.0,29196.0,-0.11534148574165973,29196.0,-0.11534148574165973,,,,
34,平倉,,,,,,26276.4,-0.11534148574165973,336.7510017713496,0.0
35,開倉,-1.0,26242.4,-0.13217294600512539,26242.4,-0.13217294600512539,,,,
36,平倉,,,,,,27554.520000000004,-0.13217294600512539,-173.42676591224546,0.0
37,開倉,1.0,27575.5,0.12389647652703409,27575.5,0.12389647652703409,,,,
38,平倉,,,,,,26196.725,0.12389647652703409,-170.8253644235616,0.0
39,開倉,-1.0,26102.7,-0.12892381551119847,26102.7,-0.12892381551119847,,,,
40,平倉,,,,,,27407.835000000003,-0.12892381551119847,-168.2629839572083,0.0
41,開倉,1.0,27677.58305451,0.1197640985279913,27677.58305451,0.1197640985279913,,,,
42,平倉,,,,,,26293.703901784498,0.1197640985279913,-165.7390391978501,0.0
43,開倉,-1.0,26282.8,-0.12422797693539667,26282.8,-0.12422797693539667,,,,
44,平倉,,,,,,27596.94,-0.12422797693539667,-163.2529536098821,0.0
45,開倉,1.0,27836.9,0.1155330940627253,27836.9,0.1155330940627253,,,,
46,平倉,,,,,,30620.590000000004,0.1155330940627253,321.60831861146806,0.0
47,開倉,1.0,30624.01280301,0.10816889683942828,30624.01280301,0.10816889683942828,,,,
48,平倉,,,,,,29092.812162859496,0.10816889683942828,-165.62828408490623,0.0
49,開倉,-1.0,29076.55935165,-0.11221675704513812,29076.55935165,-0.11221675704513812,,,,
50,平倉,,,,,,26168.903416485,-0.11221675704513812,326.2877196472646,0.0
51,開倉,-1.0,25197.44137197,-0.13337717360880097,25197.44137197,-0.13337717360880097,,,,
52,平倉,,,,,,26457.3134405685,-0.13337717360880097,-168.03817561834168,0.0
53,開倉,-1.0,26470.6,-0.12505768889565497,26470.6,-0.12505768889565497,,,,
54,平倉,,,,,,27794.13,-0.12505768889565497,-165.5176029840665,0.0
55,開倉,1.0,27902.6,0.11685996211055974,27902.6,0.11685996211055974,,,,
56,平倉,,,,,,26507.469999999998,0.11685996211055974,-163.03483893930533,0.0
57,開倉,-1.0,26485.35982941,-0.12126647883174557,26485.35982941,-0.12126647883174557,,,,
58,平倉,,,,,,27809.6278208805,-0.12126647883174557,-160.58931635521566,0.0
59,開倉,1.0,27857.50940041,0.11356397611594043,27857.50940041,0.11356397611594043,,,,
60,平倉,,,,,,30643.260340451,0.11356397611594043,316.36095321977496,0.0
61,開倉,1.0,30664.6,0.10626317702378903,30664.6,0.10626317702378903,,,,
62,平倉,,,,,,33731.06,0.10626317702378903,325.85178181636803,0.0
63,開倉,1.0,34070.1,0.09851081601488082,34070.1,0.09851081601488082,,,,
64,平倉,,,,,,37477.11,0.09851081601488082,335.6273352708593,0.0
65,開倉,1.0,37639.6,0.0918437377998132,37639.6,0.0918437377998132,,,,
66,平倉,,,,,,35757.619999999995,0.0918437377998132,-172.84807766449273,0.0
67,開倉,-1.0,35689.1,-0.0954102829712854,35689.1,-0.0954102829712854,,,,
68,平倉,,,,,,37473.555,-0.0954102829712854,-170.25535649952525,0.0
69,開倉,1.0,37521.2,0.08939027864355734,37521.2,0.08939027864355734,,,,
70,平倉,,,,,,35645.13999999999,0.08939027864355734,-167.7015261520326,0.0
71,開倉,-1.0,35580.23494954,-0.09285267705175024,35580.23494954,-0.09285267705175024,,,,
72,平倉,,,,,,37359.246697017,-0.09285267705175024,-165.18600325975186,0.0
73,開倉,1.0,37383.2,0.08704884183850256,37383.2,0.08704884183850256,,,,
74,平倉,,,,,,41121.52,0.08704884183850256,325.41642642171087,0.0
75,開倉,1.0,41162.23820455,0.08142873998948678,41162.23820455,0.08142873998948678,,,,
76,平倉,,,,,,45278.462025005,0.08142873998948678,335.1789192143622,0.0
77,開倉,1.0,45285.45900355,0.07623513030170005,45285.45900355,0.07623513030170005,,,,
78,平倉,,,,,,43021.1860533725,0.07623513030170005,-172.61714339539674,0.0
79,開倉,-1.0,42960.47921294,-0.079155488653512,42960.47921294,-0.079155488653512,,,,
80,平倉,,,,,,45108.503173587,-0.079155488653512,-170.0278862444654,0.0
81,開倉,1.0,45133.25214184,0.07421466878764604,45133.25214184,0.07421466878764604,,,,
82,平倉,,,,,,42876.589534748,0.07421466878764604,-167.47746795079883,0.0
83,開倉,-1.0,42514.84532145,-0.07760362512635403,42514.84532145,-0.07760362512635403,,,,
84,平倉,,,,,,44640.587587522496,-0.07760362512635403,-164.96530593153653,0.0
85,開倉,1.0,44658.7,0.07277006556060232,44658.7,0.07277006556060232,,,,
86,平倉,,,,,,49124.57,0.07277006556060232,324.9816526851273,0.0
87,開倉,1.0,49393.24651136,0.06776859710743974,49393.24651136,0.06776859710743974,,,,
88,平倉,,,,,,54332.571162496,0.06776859710743974,334.7311022656813,0.0
89,開倉,1.0,54403.79319318,0.0633729773417475,54403.79319318,0.0633729773417475,,,,
90,平倉,,,,,,59844.172512498,0.0633729773417475,344.7730353336515,0.0
91,開倉,1.0,59922.6,0.059262486339654974,59922.6,0.059262486339654974,,,,
92,平倉,,,,,,65914.86,0.059262486339654974,355.116226393661,0.0
93,開倉,1.0,66006.4,0.055414280007010035,66006.4,0.055414280007010035,,,,
94,平倉,,,,,,62706.079999999994,0.055414280007010035,-182.88485659273533,0.0
95,開倉,-1.0,61837.84527823,-0.05826256815169564,61837.84527823,-0.05826256815169564,,,,
96,平倉,,,,,,64929.737542141505,-0.05826256815169564,-180.14158374384456,0.0
97,開倉,1.0,64954.23277305,0.05463522619308271,64954.23277305,0.05463522619308271,,,,
98,平倉,,,,,,71449.656050355,0.05463522619308271,354.87891997537344,0.0
99,開倉,1.0,71531.6,0.051099833860089025,71531.6,0.051099833860089025,,,,
100,平倉,,,,,,67955.02,0.051099833860089025,-182.7626437873173,0.0
101,開倉,-1.0,67952.28344323,-0.05298459301397995,67952.28344323,-0.05298459301397995,,,,
102,平倉,,,,,,61157.055098907,-0.05298459301397995,360.0424082610148,0.0
103,開倉,-1.0,61016.39151894,-0.060777714197296065,61016.39151894,-0.060777714197296065,,,,
104,平倉,,,,,,64067.211094887,-0.060777714197296065,-185.42184025442296,0.0
105,開倉,1.0,64317.6,0.056793323336258306,64317.6,0.056793323336258306,,,,
106,平倉,,,,,,70749.36,0.056793323336258306,365.2810253012128,0.0
107,開倉,-1.0,70425.4,-0.053423829479172166,70425.4,-0.053423829479172166,,,,
108,平倉,,,,,,63382.85999999999,-0.053423829479172166,376.2394560602492,0.0
109,開倉,-1.0,61416.90745507,-0.06309771295885497,61416.90745507,-0.06309771295885497,,,,
110,平倉,,,,,,64487.752827823504,-0.06309771295885497,-193.76331987102844,0.0
111,開倉,1.0,64557.13940426,0.0591280443446565,64557.13940426,0.0591280443446565,,,,
112,平倉,,,,,,61329.282434046996,0.0591280443446565,-190.85687007296312,0.0
113,開倉,-1.0,61317.90045198,-0.06131782583426598,61317.90045198,-0.06131782583426598,,,,
114,平倉,,,,,,64383.795474579005,-0.06131782583426598,-187.99401702186873,0.0
115,開倉,1.0,64703.25819149,0.057237954298534885,64703.25819149,0.057237954298534885,,,,
116,平倉,,,,,,61468.0952819155,0.057237954298534885,-185.17410676654043,0.0
117,開倉,-1.0,61296.2,-0.05951314931922119,61296.2,-0.05951314931922119,,,,
118,平倉,,,,,,64361.01,-0.05951314931922119,-182.3964951650426,0.0
119,開倉,1.0,64430.23998582,0.05576901398383954,64430.23998582,0.05576901398383954,,,,
120,平倉,,,,,,61208.727986529,0.05576901398383954,-179.66054773756687,0.0
121,開倉,-1.0,61191.3,-0.05784013071188327,61191.3,-0.05784013071188327,,,,
122,平倉,,,,,,64250.865000000005,-0.05784013071188327,-176.96563952150328,0.0
123,開倉,1.0,64286.2,0.05422972735320508,64286.2,0.05422972735320508,,,,
124,平倉,,,,,,70714.82,0.05422972735320508,348.6223098573618,0.0
125,開倉,1.0,70869.9,0.05066762887390585,70869.9,0.05066762887390585,,,,
126,平倉,,,,,,67326.40499999998,0.05066762887390585,-179.54048957654152,0.0
127,開倉,-1.0,67200.33975177,-0.05263288337116921,67200.33975177,-0.05263288337116921,,,,
128,平倉,,,,,,70560.35673935851,-0.05263288337116921,-176.84738223289304,0.0
129,開倉,1.0,70569.1,0.04936853991319132,70569.1,0.04936853991319132,,,,
130,平倉,,,,,,67040.645,0.04936853991319132,-174.19467149939956,0.0
131,開倉,-1.0,66892.32296454,-0.051300879928438105,66892.32296454,-0.051300879928438105,,,,
132,平倉,,,,,,70236.939112767,-0.051300879928438105,-171.58175142690828,0.0
133,開倉,1.0,70297.5034539,0.04808364930522397,70297.5034539,0.04808364930522397,,,,
134,平倉,,,,,,66782.628281205,0.04808364930522397,-169.0080251555049,0.0
135,開倉,-1.0,66117.15535568,-0.050356947113838875,66117.15535568,-0.050356947113838875,,,,
136,平倉,,,,,,69423.01312346401,-0.050356947113838875,-166.4729047781727,0.0
137,開倉,1.0,69615.57497872,0.04710894401335439,69615.57497872,0.04710894401335439,,,,
138,平倉,,,,,,66134.796229784,0.04710894401335439,-163.9758112065,0.0
139,開倉,-1.0,65735.2,-0.04914145664374712,65735.2,-0.04914145664374712,,,,
140,平倉,,,,,,59161.68,-0.04914145664374712,323.0323480768044,0.0
141,開倉,-1.0,58882.8,-0.056506028673756786,58882.8,-0.056506028673756786,,,,
142,平倉,,,,,,61826.94,-0.056506028673756786,-166.36165925955427,0.0
143,開倉,1.0,62053.4,0.05281458691084163,62053.4,0.05281458691084163,,,,
144,平倉,,,,,,58950.729999999996,0.05281458691084163,-163.8662343706613,0.0
145,開倉,-1.0,58911.19759574,-0.05479713448119508,58911.19759574,-0.05479713448119508,,,,
146,平倉,,,,,,61856.757475527,-0.05479713448119508,-161.4082408551013,0.0
147,開倉,1.0,62218.998653,0.05110564961964675,62218.998653,0.05110564961964675,,,,
148,平倉,,,,,,68440.8985183,0.05110564961964675,317.9742344845492,0.0
149,開倉,1.0,68504.59442553,0.047808977524145334,68504.59442553,0.047808977524145334,,,,
150,平倉,,,,,,65079.364704253494,0.047808977524145334,-163.756730759543,0.0
151,開倉,-1.0,64772.1,-0.04980551187877176,64772.1,-0.04980551187877176,,,,
152,平倉,,,,,,58294.89,-0.04980551187877176,322.6007595962992,0.0
153,開倉,-1.0,58256.1,-0.05703759475560297,58256.1,-0.05703759475560297,,,,
154,平倉,,,,,,52430.49,-0.05703759475560297,332.2787823841883,0.0
155,開倉,-1.0,52050.67320859,-0.06575268382873332,52050.67320859,-0.06575268382873332,,,,
156,平倉,,,,,,54653.2068690195,-0.06575268382873332,-171.12357292785697,0.0
157,開倉,1.0,55174.38140975,0.06109963175922549,55174.38140975,0.06109963175922549,,,,
158,平倉,,,,,,60691.819550725006,0.06109963175922549,337.1134386678785,0.0
159,開倉,1.0,61172.38953705,0.056762020325789496,61172.38953705,0.056762020325789496,,,,
160,平倉,,,,,,58113.7700601975,0.056762020325789496,-173.61342091395736,0.0
161,開倉,-1.0,58056.7,-0.05891110572948441,58056.7,-0.05891110572948441,,,,
162,平倉,,,,,,60959.534999999996,-0.05891110572948441,-171.00921960024783,0.0
163,開倉,1.0,60961.6,0.05526235574730459,60961.6,0.05526235574730459,,,,
164,平倉,,,,,,57913.52,0.05526235574730459,-168.44408130624427,0.0
165,開倉,-1.0,57907.62896212,-0.05730416632847621,57907.62896212,-0.05730416632847621,,,,
166,平倉,,,,,,60803.010410226,-0.05730416632847621,-165.91742008665074,0.0
167,開倉,1.0,60832.02387234,0.05373112659487263,60832.02387234,0.05373112659487263,,,,
168,平倉,,,,,,57790.422678723,0.05373112659487263,-163.4286587853509,0.0
169,開倉,-1.0,57783.2,-0.05571765804025061,57783.2,-0.05571765804025061,,,,
170,平倉,,,,,,60672.36,-0.05571765804025061,-160.97722890357065,0.0
171,開倉,1.0,60689.51534752,0.05225369474844434,60689.51534752,0.05225369474844434,,,,
172,平倉,,,,,,66758.466882272,0.05225369474844434,317.12514094003376,0.0
173,開倉,1.0,66816.64112766,0.04888585981808902,66816.64112766,0.04888585981808902,,,,
174,平倉,,,,,,73498.30524042601,0.04888585981808902,326.63889516823536,0.0
175,開倉,1.0,73571.59621277,0.04572934112375361,73571.59621277,0.04572934112375361,,,,
176,平倉,,,,,,69893.0164021315,0.04572934112375361,-168.21903101164114,0.0
177,開倉,-1.0,69825.60010638,-0.04745988442463142,69825.60010638,-0.04745988442463142,,,,
178,平倉,,,,,,73316.880111699,-0.04745988442463142,-165.69574554646633,0.0
179,開倉,1.0,73903.68575887,0.04416838150556805,73903.68575887,0.04416838150556805,,,,
180,平倉,,,,,,81294.054334757,0.04416838150556805,326.4206187265392,0.0
181,開倉,1.0,81340.01115603,0.04133429938230471,81340.01115603,0.04133429938230471,,,,
182,平倉,,,,,,89474.01227163301,0.04133429938230471,336.2132372883352,0.0
183,開倉,1.0,89577.5,0.03865922072026847,89577.5,0.03865922072026847,,,,
184,平倉,,,,,,98535.25000000001,0.03865922072026847,346.29963440698543,0.0
185,開倉,1.0,98790.25498485,0.036105648628388956,98790.25498485,0.036105648628388956,,,,
186,平倉,,,,,,93850.7422356075,0.036105648628388956,-178.34431171959756,0.0
187,開倉,-1.0,93811.84370922,-0.03745137929242896,93811.84370922,-0.03745137929242896,,,,
188,平倉,,,,,,98502.43589468101,-0.03745137929242896,-175.66914704380343,0.0
189,開倉,1.0,98586.0,0.03510318094620863,98586.0,0.03510318094620863,,,,
190,平倉,,,,,,93656.7,0.03510318094620863,-173.0341098381463,0.0
191,開倉,1.0,95581.8,0.0356633999758477,95581.8,0.0356633999758477,,,,
192,平倉,,,,,,105139.98000000001,0.0356633999758477,340.8771963811482,0.0
193,開倉,1.0,105231.76066276,0.03336478550404345,105231.76066276,0.03336478550404345,,,,
194,平倉,,,,,,99970.172629622,0.03336478550404345,-175.55175613629132,0.0
195,開倉,-1.0,99783.78146099,-0.034658634351685404,99783.78146099,-0.034658634351685404,,,,
196,平倉,,,,,,92013.0,-0.034658634351685404,269.3246732833079,0.0
